timestamp,user_id,session_id,page_url,ip_address,user_agent,referrer,time_on_page,scroll_depth,mouse_movements,form_interactions
2024-01-01 01:05:45.000000,U0565,S000565,/home,247.200.72.9,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15,google.com,101,80,69,0
2024-01-01 01:06:15.000000,U0565,S000565,/search,247.200.72.9,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/home,115,59,60,1
2024-01-01 01:06:45.000000,U0565,S000565,/contact,247.200.72.9,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/search,66,62,136,0
2024-01-01 01:07:15.000000,U0565,S000565,/product/789,247.200.72.9,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/contact,14,40,95,0
2024-01-01 01:07:45.000000,U0565,S000565,/products,247.200.72.9,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/product/789,32,50,178,0
2024-01-01 02:06:39.000000,U0526,S000526,/home,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,google.com,58,93,124,0
2024-01-01 02:07:09.000000,U0526,S000526,/category/electronics,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/home,50,99,191,0
2024-01-01 02:07:39.000000,U0526,S000526,/reviews,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/category/electronics,44,42,83,0
2024-01-01 02:08:09.000000,U0526,S000526,/checkout,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/reviews,59,59,137,1
2024-01-01 02:08:39.000000,U0526,S000526,/contact,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/checkout,84,51,87,0
2024-01-01 02:09:09.000000,U0526,S000526,/category/clothing,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/contact,114,53,187,0
2024-01-01 02:09:39.000000,U0526,S000526,/product/123,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/category/clothing,37,41,97,0
2024-01-01 02:10:09.000000,U0526,S000526,/products,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/product/123,69,82,135,0
2024-01-01 02:10:39.000000,U0526,S000526,/home,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/products,158,66,149,0
2024-01-01 02:11:09.000000,U0526,S000526,/products,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/home,178,65,158,0
2024-01-01 02:11:39.000000,U0526,S000526,/products,241.220.40.237,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,/products,17,42,161,0
2024-01-01 03:07:39.000000,A1028,S001028,/home,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,google.com,48,53,50,0
2024-01-01 03:07:59.000000,A1028,S001028,/search,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/home,44,36,43,0
2024-01-01 03:08:19.000000,A1028,S001028,/faq,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/search,74,88,61,0
2024-01-01 03:08:39.000000,A1028,S001028,/login,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/faq,67,75,34,0
2024-01-01 03:08:59.000000,A1028,S001028,/faq,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/login,77,40,66,0
2024-01-01 03:09:19.000000,A1028,S001028,/orders,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/faq,28,77,17,0
2024-01-01 03:09:39.000000,A1028,S001028,/contact,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/orders,22,56,60,0
2024-01-01 03:09:59.000000,A1028,S001028,/checkout,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/contact,23,50,55,0
2024-01-01 03:10:19.000000,A1028,S001028,/help,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/checkout,31,60,51,0
2024-01-01 03:10:39.000000,A1028,S001028,/category/books,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/help,67,84,78,0
2024-01-01 03:10:59.000000,A1028,S001028,/category/clothing,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/category/books,22,53,57,0
2024-01-01 03:11:19.000000,A1028,S001028,/product/456,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/category/clothing,38,42,41,0
2024-01-01 03:11:39.000000,A1028,S001028,/wishlist,156.26.130.190,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/product/456,19,71,72,0
2024-01-01 04:00:10.000000,M0927,S000927,/orders,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,google.com,18,17,18,0
2024-01-01 04:00:14.000000,M0927,S000927,/login,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/home,17,46,2,0
2024-01-01 04:00:23.000000,M0927,S000927,/category/electronics,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/products,19,26,11,0
2024-01-01 04:00:28.000000,M0927,S000927,/wishlist,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/product/123,10,8,12,0
2024-01-01 04:00:32.000000,M0927,S000927,/help,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/product/456,25,20,8,0
2024-01-01 04:00:46.000000,M0927,S000927,/help,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/product/789,26,1,4,0
2024-01-01 04:00:58.000000,M0927,S000927,/about,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/cart,22,16,18,0
2024-01-01 04:01:13.000000,M0927,S000927,/about,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/checkout,11,42,8,0
2024-01-01 04:01:27.000000,M0927,S000927,/contact,84.61.141.151,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,/login,19,30,13,0
2024-01-01 04:06:00.000000,A1021,S001021,/home,9.26.39.39,Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15,google.com,53,90,54,0
